"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",1.211106,0.513404,2.359,0.0189,"**"
"dln_dep_L1",0.121448,0.056904,2.1342,0.0336,"**"
"dln_dep_L2",-0.100239,0.043392,-2.3101,0.0215,"**"
"dln_dep_L3",-0.10191,0.048207,-2.114,0.0353,"**"
"dln_dep_L4",-0.042877,0.039822,-1.0767,0.2824,""
"dln_dep_L5",-0.012111,0.059463,-0.2037,0.8387,""
"dln_dep_L6",0.063531,0.059056,1.0758,0.2829,""
"dln_dep_L7",0.036049,0.034721,1.0383,0.2999,""
"dln_dep_L8",-0.004359,0.042473,-0.1026,0.9183,""
"dln_dep_L9",0.012572,0.056617,0.222,0.8244,""
"dln_dep_L10",0.036817,0.043068,0.8548,0.3933,""
"dln_dep_L11",-0.001311,0.034823,-0.0376,0.97,""
"dln_dep_L12",0.062013,0.032302,1.9198,0.0558,"*"
"dln_oil_pos_L0",-0.021675,0.027191,-0.7971,0.426,""
"dln_oil_pos_L1",0.061495,0.027884,2.2054,0.0281,"**"
"dln_oil_pos_L2",0.005948,0.018479,0.3219,0.7477,""
"dln_oil_pos_L3",0.051356,0.023128,2.2205,0.0271,"**"
"dln_oil_pos_L4",0.018007,0.02448,0.7356,0.4625,""
"dln_oil_pos_L5",0.007081,0.032091,0.2207,0.8255,""
"dln_oil_pos_L6",-0.022196,0.024389,-0.9101,0.3635,""
"dln_oil_neg_L0",0.027435,0.027847,0.9852,0.3253,""
"dln_oil_neg_L1",0.06121,0.022292,2.7459,0.0064,"***"
"dln_oil_neg_L2",0.021211,0.024255,0.8745,0.3825,""
"dln_oil_neg_L3",0.041961,0.020952,2.0027,0.0461,"**"
"dln_oil_neg_L4",0.046842,0.019026,2.462,0.0144,"**"
"dln_oil_neg_L5",0.001233,0.022006,0.056,0.9554,""
"dln_oil_neg_L6",0.051521,0.023806,2.1642,0.0312,"**"
"dln_oil_pos_post_L0",0.068169,0.030217,2.256,0.0248,"**"
"dln_oil_pos_post_L1",0.162731,0.044844,3.6288,3e-04,"***"
"dln_oil_pos_post_L2",0.009776,0.056397,0.1733,0.8625,""
"dln_oil_pos_post_L3",0.011816,0.036577,0.3231,0.7469,""
"dln_oil_pos_post_L4",0.050214,0.039344,1.2763,0.2028,""
"dln_oil_pos_post_L5",0.019413,0.046062,0.4214,0.6737,""
"dln_oil_pos_post_L6",0.03594,0.041902,0.8577,0.3917,""
"dln_oil_neg_post_L0",0.066053,0.041942,1.5749,0.1163,""
"dln_oil_neg_post_L1",0.116976,0.03397,3.4435,7e-04,"***"
"dln_oil_neg_post_L2",-0.003258,0.039002,-0.0835,0.9335,""
"dln_oil_neg_post_L3",-0.014736,0.036214,-0.4069,0.6844,""
"dln_oil_neg_post_L4",-0.005361,0.035247,-0.1521,0.8792,""
"dln_oil_neg_post_L5",-0.005844,0.028445,-0.2054,0.8374,""
"dln_oil_neg_post_L6",-0.013905,0.027109,-0.5129,0.6084,""
"dln_exr",0.114121,0.050118,2.277,0.0235,"**"
"dln_exr_L1",0.013974,0.053476,0.2613,0.794,""
"d_post2010",-1.077065,0.501322,-2.1485,0.0324,"**"
"d_covid",-0.802652,0.588837,-1.3631,0.1738,""
"month02",-0.328396,0.309416,-1.0613,0.2893,""
"month03",0.117395,0.374576,0.3134,0.7542,""
"month04",-0.507973,0.42949,-1.1827,0.2378,""
"month05",-0.59866,0.40472,-1.4792,0.1401,""
"month06",-0.155602,0.346448,-0.4491,0.6536,""
"month07",0.059032,0.444726,0.1327,0.8945,""
"month08",-0.91324,0.298802,-3.0563,0.0024,"***"
"month09",0.324132,0.342945,0.9451,0.3453,""
"month10",0.042301,0.343783,0.123,0.9022,""
"month11",-0.131768,0.346241,-0.3806,0.7038,""
"month12",-0.446461,0.329631,-1.3544,0.1766,""
