"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",0.20046,0.366299,0.5473,0.585,""
"dln_dep_L1",0.112801,0.066475,1.6969,0.0918,"*"
"dln_dep_L2",-0.117401,0.072294,-1.6239,0.1065,""
"dln_dep_L3",-0.161358,0.091012,-1.7729,0.0783,"*"
"dln_dep_L4",-0.033687,0.070473,-0.478,0.6334,""
"dln_dep_L5",-0.019644,0.064398,-0.305,0.7608,""
"dln_dep_L6",0.045159,0.071644,0.6303,0.5295,""
"dln_dep_L7",0.064468,0.043309,1.4886,0.1388,""
"dln_dep_L8",-0.004278,0.050903,-0.084,0.9331,""
"dln_dep_L9",0.028267,0.058768,0.481,0.6312,""
"dln_dep_L10",0.022104,0.044103,0.5012,0.617,""
"dln_dep_L11",0.003339,0.040173,0.0831,0.9339,""
"dln_dep_L12",0.043229,0.035455,1.2192,0.2247,""
"dln_oil_pos_L0",0.058009,0.018816,3.0829,0.0025,"***"
"dln_oil_pos_L1",0.19449,0.030852,6.304,0,"***"
"dln_oil_pos_L2",0.048275,0.051634,0.9349,0.3514,""
"dln_oil_pos_L3",0.076263,0.031085,2.4534,0.0153,"**"
"dln_oil_pos_L4",0.089271,0.029406,3.0358,0.0028,"***"
"dln_oil_pos_L5",0.02429,0.033117,0.7335,0.4645,""
"dln_oil_pos_L6",0.02994,0.026978,1.1098,0.2689,""
"dln_oil_neg_L0",0.107702,0.03118,3.4542,7e-04,"***"
"dln_oil_neg_L1",0.198501,0.030293,6.5528,0,"***"
"dln_oil_neg_L2",-0.010332,0.029783,-0.3469,0.7292,""
"dln_oil_neg_L3",0.053733,0.037898,1.4178,0.1584,""
"dln_oil_neg_L4",0.041778,0.036798,1.1353,0.2581,""
"dln_oil_neg_L5",-0.01245,0.024716,-0.5037,0.6152,""
"dln_oil_neg_L6",0.04053,0.027286,1.4854,0.1396,""
"dln_exr",0.107709,0.067713,1.5907,0.1138,""
"dln_exr_L1",0.115929,0.051119,2.2678,0.0248,"**"
"month02",-0.491858,0.387984,-1.2677,0.2069,""
"month03",-0.395663,0.450713,-0.8779,0.3815,""
"month04",-1.549728,0.404218,-3.8339,2e-04,"***"
"month05",-0.259937,0.563053,-0.4617,0.645,""
"month06",-0.854472,0.521433,-1.6387,0.1034,""
"month07",-0.485086,0.521225,-0.9307,0.3536,""
"month08",-1.106202,0.48878,-2.2632,0.0251,"**"
"month09",0.34214,0.361931,0.9453,0.3461,""
"month10",-0.140358,0.50409,-0.2784,0.7811,""
"month11",0.238867,0.562698,0.4245,0.6718,""
"month12",-0.115203,0.491448,-0.2344,0.815,""
