"Horizon","Response","N","Estimate","SE","CI_low","CI_high","p_value","Sig","Sample_start","Sample_end","NW_lag","p_label"
0,"All sample",371,0.045282,0.011226,0.023279,0.067284,6.9e-05,"***",1995-05-01,2026-03-01,4,"<0.001"
1,"All sample",370,0.199322,0.023987,0.152307,0.246337,0,"***",1995-05-01,2026-02-01,4,"<0.001"
2,"All sample",369,0.261723,0.037005,0.189194,0.334252,0,"***",1995-05-01,2026-01-01,4,"<0.001"
3,"All sample",368,0.284898,0.03658,0.213202,0.356594,0,"***",1995-05-01,2025-12-01,4,"<0.001"
4,"All sample",367,0.294434,0.037391,0.221147,0.367721,0,"***",1995-05-01,2025-11-01,5,"<0.001"
5,"All sample",366,0.283178,0.036808,0.211033,0.355322,0,"***",1995-05-01,2025-10-01,6,"<0.001"
6,"All sample",365,0.296251,0.037948,0.221874,0.370629,0,"***",1995-05-01,2025-09-01,7,"<0.001"
7,"All sample",364,0.323925,0.041124,0.243322,0.404528,0,"***",1995-05-01,2025-08-01,8,"<0.001"
8,"All sample",363,0.337673,0.047548,0.244478,0.430868,0,"***",1995-05-01,2025-07-01,9,"<0.001"
9,"All sample",362,0.353914,0.054208,0.247667,0.460161,0,"***",1995-05-01,2025-06-01,10,"<0.001"
10,"All sample",361,0.342744,0.061106,0.222975,0.462512,0,"***",1995-05-01,2025-05-01,11,"<0.001"
11,"All sample",360,0.347019,0.066641,0.216402,0.477636,0,"***",1995-05-01,2025-04-01,12,"<0.001"
12,"All sample",359,0.346082,0.072132,0.204703,0.487461,3e-06,"***",1995-05-01,2025-03-01,13,"<0.001"
