"Horizon","Response","N","Estimate","SE","CI_low","CI_high","p_value","Sig","Sample_start","Sample_end","NW_lag","p_label"
0,"Pre-2014 period",371,-0.002695,0.014374,-0.030867,0.025478,0.851404,"",1995-05-01,2026-03-01,4,"0.8514"
0,"Post-2014 diesel deregulation period",371,0.093672,0.016637,0.061064,0.12628,0,"***",1995-05-01,2026-03-01,4,"<0.001"
0,"Post-2014 diesel deregulation period minus Pre-2014 period",371,0.096367,0.019854,0.057453,0.135281,2e-06,"***",1995-05-01,2026-03-01,4,"<0.001"
1,"Pre-2014 period",370,0.073812,0.025423,0.023983,0.123642,0.00395,"***",1995-05-01,2026-02-01,4,"0.0040"
1,"Post-2014 diesel deregulation period",370,0.342194,0.022373,0.298344,0.386045,0,"***",1995-05-01,2026-02-01,4,"<0.001"
1,"Post-2014 diesel deregulation period minus Pre-2014 period",370,0.268382,0.033665,0.202398,0.334366,0,"***",1995-05-01,2026-02-01,4,"<0.001"
2,"Pre-2014 period",369,0.109372,0.039614,0.031729,0.187015,0.006099,"***",1995-05-01,2026-01-01,4,"0.0061"
2,"Post-2014 diesel deregulation period",369,0.435195,0.029227,0.377911,0.492479,0,"***",1995-05-01,2026-01-01,4,"<0.001"
2,"Post-2014 diesel deregulation period minus Pre-2014 period",369,0.325823,0.050446,0.226948,0.424698,0,"***",1995-05-01,2026-01-01,4,"<0.001"
3,"Pre-2014 period",368,0.167493,0.050802,0.067921,0.267065,0.001089,"***",1995-05-01,2025-12-01,4,"0.0011"
3,"Post-2014 diesel deregulation period",368,0.419535,0.040634,0.339892,0.499178,0,"***",1995-05-01,2025-12-01,4,"<0.001"
3,"Post-2014 diesel deregulation period minus Pre-2014 period",368,0.252042,0.066879,0.120958,0.383125,0.000196,"***",1995-05-01,2025-12-01,4,"<0.001"
4,"Pre-2014 period",367,0.221751,0.061171,0.101855,0.341646,0.000337,"***",1995-05-01,2025-11-01,5,"<0.001"
4,"Post-2014 diesel deregulation period",367,0.378933,0.04858,0.283716,0.47415,0,"***",1995-05-01,2025-11-01,5,"<0.001"
4,"Post-2014 diesel deregulation period minus Pre-2014 period",367,0.157182,0.080233,-7.4e-05,0.314438,0.050986,"*",1995-05-01,2025-11-01,5,"0.0510"
5,"Pre-2014 period",366,0.238554,0.065231,0.110702,0.366406,0.000299,"***",1995-05-01,2025-10-01,6,"<0.001"
5,"Post-2014 diesel deregulation period",366,0.335879,0.048859,0.240114,0.431643,0,"***",1995-05-01,2025-10-01,6,"<0.001"
5,"Post-2014 diesel deregulation period minus Pre-2014 period",366,0.097325,0.085435,-0.070128,0.264778,0.255501,"",1995-05-01,2025-10-01,6,"0.2555"
6,"Pre-2014 period",365,0.250901,0.068179,0.117271,0.384531,0.000274,"***",1995-05-01,2025-09-01,7,"<0.001"
6,"Post-2014 diesel deregulation period",365,0.349708,0.05238,0.247042,0.452373,0,"***",1995-05-01,2025-09-01,7,"<0.001"
6,"Post-2014 diesel deregulation period minus Pre-2014 period",365,0.098807,0.091482,-0.080498,0.278112,0.280945,"",1995-05-01,2025-09-01,7,"0.2809"
7,"Pre-2014 period",364,0.254203,0.070299,0.116417,0.391988,0.000349,"***",1995-05-01,2025-08-01,8,"<0.001"
7,"Post-2014 diesel deregulation period",364,0.40457,0.056056,0.294701,0.51444,0,"***",1995-05-01,2025-08-01,8,"<0.001"
7,"Post-2014 diesel deregulation period minus Pre-2014 period",364,0.150368,0.091857,-0.029671,0.330407,0.102643,"",1995-05-01,2025-08-01,8,"0.1026"
8,"Pre-2014 period",363,0.240892,0.069885,0.103918,0.377866,0.000645,"***",1995-05-01,2025-07-01,9,"<0.001"
8,"Post-2014 diesel deregulation period",363,0.44867,0.075882,0.299942,0.597398,0,"***",1995-05-01,2025-07-01,9,"<0.001"
8,"Post-2014 diesel deregulation period minus Pre-2014 period",363,0.207778,0.100439,0.010918,0.404637,0.0394,"**",1995-05-01,2025-07-01,9,"0.0394"
9,"Pre-2014 period",362,0.249835,0.074097,0.104605,0.395066,0.000842,"***",1995-05-01,2025-06-01,10,"<0.001"
9,"Post-2014 diesel deregulation period",362,0.47328,0.09145,0.294038,0.652521,0,"***",1995-05-01,2025-06-01,10,"<0.001"
9,"Post-2014 diesel deregulation period minus Pre-2014 period",362,0.223445,0.113474,0.001035,0.445854,0.049829,"**",1995-05-01,2025-06-01,10,"0.0498"
10,"Pre-2014 period",361,0.248301,0.081851,0.087874,0.408728,0.002622,"***",1995-05-01,2025-05-01,11,"0.0026"
10,"Post-2014 diesel deregulation period",361,0.453672,0.105877,0.246154,0.66119,2.4e-05,"***",1995-05-01,2025-05-01,11,"<0.001"
10,"Post-2014 diesel deregulation period minus Pre-2014 period",361,0.205371,0.128672,-0.046827,0.457568,0.111494,"",1995-05-01,2025-05-01,11,"0.1115"
11,"Pre-2014 period",360,0.277962,0.087144,0.107159,0.448764,0.001571,"***",1995-05-01,2025-04-01,12,"0.0016"
11,"Post-2014 diesel deregulation period",360,0.429356,0.117396,0.199259,0.659453,3e-04,"***",1995-05-01,2025-04-01,12,"<0.001"
11,"Post-2014 diesel deregulation period minus Pre-2014 period",360,0.151394,0.140133,-0.123266,0.426055,0.280825,"",1995-05-01,2025-04-01,12,"0.2808"
12,"Pre-2014 period",359,0.298054,0.095581,0.110715,0.485392,0.001991,"***",1995-05-01,2025-03-01,13,"0.0020"
12,"Post-2014 diesel deregulation period",359,0.404768,0.122322,0.165016,0.644519,0.001048,"***",1995-05-01,2025-03-01,13,"0.0010"
12,"Post-2014 diesel deregulation period minus Pre-2014 period",359,0.106714,0.146598,-0.180618,0.394045,0.467207,"",1995-05-01,2025-03-01,13,"0.4672"
