"Horizon","Response","N","Estimate","SE","CI_low","CI_high","p_value","Sig","Sample_start","Sample_end","NW_lag","p_label"
0,"Normal oil-volatility months",371,0.018987,0.022014,-0.024161,0.062134,0.389072,"",1995-05-01,2026-03-01,4,"0.3891"
0,"High oil-volatility months",371,0.052308,0.011701,0.029375,0.075242,1.1e-05,"***",1995-05-01,2026-03-01,4,"<0.001"
0,"High oil-volatility months minus Normal oil-volatility months",371,0.033322,0.022137,-0.010066,0.07671,0.133245,"",1995-05-01,2026-03-01,4,"0.1332"
1,"Normal oil-volatility months",370,0.130111,0.035859,0.059826,0.200395,0.000332,"***",1995-05-01,2026-02-01,4,"<0.001"
1,"High oil-volatility months",370,0.219164,0.02522,0.169733,0.268595,0,"***",1995-05-01,2026-02-01,4,"<0.001"
1,"High oil-volatility months minus Normal oil-volatility months",370,0.089053,0.037609,0.01534,0.162767,0.018488,"**",1995-05-01,2026-02-01,4,"0.0185"
2,"Normal oil-volatility months",369,0.170221,0.050407,0.071422,0.269019,0.000824,"***",1995-05-01,2026-01-01,4,"<0.001"
2,"High oil-volatility months",369,0.288197,0.039451,0.210873,0.365521,0,"***",1995-05-01,2026-01-01,4,"<0.001"
2,"High oil-volatility months minus Normal oil-volatility months",369,0.117976,0.057037,0.006183,0.22977,0.039413,"**",1995-05-01,2026-01-01,4,"0.0394"
3,"Normal oil-volatility months",368,0.193253,0.067139,0.061661,0.324845,0.004269,"***",1995-05-01,2025-12-01,4,"0.0043"
3,"High oil-volatility months",368,0.312674,0.03614,0.24184,0.383508,0,"***",1995-05-01,2025-12-01,4,"<0.001"
3,"High oil-volatility months minus Normal oil-volatility months",368,0.119421,0.066874,-0.011653,0.250495,0.075099,"*",1995-05-01,2025-12-01,4,"0.0751"
4,"Normal oil-volatility months",367,0.245898,0.079855,0.089381,0.402414,0.002258,"***",1995-05-01,2025-11-01,5,"0.0023"
4,"High oil-volatility months",367,0.311704,0.038101,0.237025,0.386383,0,"***",1995-05-01,2025-11-01,5,"<0.001"
4,"High oil-volatility months minus Normal oil-volatility months",367,0.065807,0.082621,-0.09613,0.227743,0.426347,"",1995-05-01,2025-11-01,5,"0.4263"
5,"Normal oil-volatility months",366,0.251016,0.094049,0.06668,0.435351,0.008003,"***",1995-05-01,2025-10-01,6,"0.0080"
5,"High oil-volatility months",366,0.297663,0.035766,0.227561,0.367765,0,"***",1995-05-01,2025-10-01,6,"<0.001"
5,"High oil-volatility months minus Normal oil-volatility months",366,0.046647,0.097333,-0.144126,0.23742,0.632092,"",1995-05-01,2025-10-01,6,"0.6321"
6,"Normal oil-volatility months",365,0.276227,0.101657,0.076979,0.475475,0.006949,"***",1995-05-01,2025-09-01,7,"0.0069"
6,"High oil-volatility months",365,0.308315,0.034192,0.241298,0.375331,0,"***",1995-05-01,2025-09-01,7,"<0.001"
6,"High oil-volatility months minus Normal oil-volatility months",365,0.032088,0.10235,-0.168518,0.232693,0.754103,"",1995-05-01,2025-09-01,7,"0.7541"
7,"Normal oil-volatility months",364,0.307442,0.111351,0.089195,0.525689,0.006103,"***",1995-05-01,2025-08-01,8,"0.0061"
7,"High oil-volatility months",364,0.336205,0.03544,0.266743,0.405667,0,"***",1995-05-01,2025-08-01,8,"<0.001"
7,"High oil-volatility months minus Normal oil-volatility months",364,0.028763,0.106913,-0.180786,0.238312,0.788083,"",1995-05-01,2025-08-01,8,"0.7881"
8,"Normal oil-volatility months",363,0.35338,0.112477,0.132925,0.573835,0.001841,"***",1995-05-01,2025-07-01,9,"0.0018"
8,"High oil-volatility months",363,0.342772,0.041127,0.262164,0.42338,0,"***",1995-05-01,2025-07-01,9,"<0.001"
8,"High oil-volatility months minus Normal oil-volatility months",363,-0.010608,0.101345,-0.209245,0.188029,0.916702,"",1995-05-01,2025-07-01,9,"0.9167"
9,"Normal oil-volatility months",362,0.405256,0.123635,0.162931,0.64758,0.001165,"***",1995-05-01,2025-06-01,10,"0.0012"
9,"High oil-volatility months",362,0.350598,0.047216,0.258055,0.443141,0,"***",1995-05-01,2025-06-01,10,"<0.001"
9,"High oil-volatility months minus Normal oil-volatility months",362,-0.054658,0.108031,-0.266399,0.157083,0.613255,"",1995-05-01,2025-06-01,10,"0.6133"
10,"Normal oil-volatility months",361,0.409622,0.133402,0.148154,0.67109,0.002326,"***",1995-05-01,2025-05-01,11,"0.0023"
10,"High oil-volatility months",361,0.338294,0.053961,0.232531,0.444057,0,"***",1995-05-01,2025-05-01,11,"<0.001"
10,"High oil-volatility months minus Normal oil-volatility months",361,-0.071328,0.114586,-0.295917,0.153261,0.534082,"",1995-05-01,2025-05-01,11,"0.5341"
11,"Normal oil-volatility months",360,0.451294,0.147232,0.162719,0.73987,0.002368,"***",1995-05-01,2025-04-01,12,"0.0024"
11,"High oil-volatility months",360,0.334242,0.059946,0.216748,0.451736,0,"***",1995-05-01,2025-04-01,12,"<0.001"
11,"High oil-volatility months minus Normal oil-volatility months",360,-0.117052,0.13254,-0.37683,0.142726,0.377845,"",1995-05-01,2025-04-01,12,"0.3778"
12,"Normal oil-volatility months",359,0.496647,0.169303,0.164813,0.828481,0.003604,"***",1995-05-01,2025-03-01,13,"0.0036"
12,"High oil-volatility months",359,0.323032,0.065865,0.193937,0.452128,2e-06,"***",1995-05-01,2025-03-01,13,"<0.001"
12,"High oil-volatility months minus Normal oil-volatility months",359,-0.173615,0.159872,-0.486963,0.139734,0.278349,"",1995-05-01,2025-03-01,13,"0.2783"
