"Horizon","Response","N","Estimate","SE","CI_low","CI_high","p_value","Sig","Asym_F","Asym_p","Sample_start","Sample_end","NW_lag","p_label","Asym_p_label"
0,"Positive shock",371,0.025435,0.022285,-0.018244,0.069114,0.254592,"",1.210371,0.272088,1995-05-01,2026-03-01,4,"0.2546","0.2721"
0,"Negative shock",371,0.062456,0.018249,0.026688,0.098223,0.000701,"***",1.210371,0.272088,1995-05-01,2026-03-01,4,"<0.001","0.2721"
1,"Positive shock",370,0.15409,0.046271,0.063398,0.244782,0.00097,"***",1.397074,0.238097,1995-05-01,2026-02-01,4,"<0.001","0.2381"
1,"Negative shock",370,0.234794,0.036099,0.16404,0.305548,0,"***",1.397074,0.238097,1995-05-01,2026-02-01,4,"<0.001","0.2381"
2,"Positive shock",369,0.194042,0.062443,0.071652,0.316431,0.002058,"***",1.263257,0.261886,1995-05-01,2026-01-01,4,"0.0021","0.2619"
2,"Negative shock",369,0.314772,0.064412,0.188524,0.44102,2e-06,"***",1.263257,0.261886,1995-05-01,2026-01-01,4,"<0.001","0.2619"
3,"Positive shock",368,0.260334,0.073837,0.115613,0.405056,0.000485,"***",0.15041,0.698405,1995-05-01,2025-12-01,4,"<0.001","0.6984"
3,"Negative shock",368,0.30414,0.060311,0.185931,0.422349,1e-06,"***",0.15041,0.698405,1995-05-01,2025-12-01,4,"<0.001","0.6984"
4,"Positive shock",367,0.321852,0.085568,0.154139,0.489566,0.000201,"***",0.164621,0.685213,1995-05-01,2025-11-01,5,"<0.001","0.6852"
4,"Negative shock",367,0.272918,0.05641,0.162354,0.383482,2e-06,"***",0.164621,0.685213,1995-05-01,2025-11-01,5,"<0.001","0.6852"
5,"Positive shock",366,0.350912,0.09022,0.174081,0.527743,0.000123,"***",0.865059,0.353041,1995-05-01,2025-10-01,6,"<0.001","0.3530"
5,"Negative shock",366,0.23003,0.059075,0.114242,0.345817,0.000121,"***",0.865059,0.353041,1995-05-01,2025-10-01,6,"<0.001","0.3530"
6,"Positive shock",365,0.356836,0.094997,0.170643,0.54303,0.000206,"***",0.609185,0.435685,1995-05-01,2025-09-01,7,"<0.001","0.4357"
6,"Negative shock",365,0.248735,0.062748,0.125749,0.371721,9.1e-05,"***",0.609185,0.435685,1995-05-01,2025-09-01,7,"<0.001","0.4357"
7,"Positive shock",364,0.362464,0.110038,0.14679,0.578138,0.001101,"***",0.198764,0.656029,1995-05-01,2025-08-01,8,"0.0011","0.6560"
7,"Negative shock",364,0.293703,0.063208,0.169815,0.417592,5e-06,"***",0.198764,0.656029,1995-05-01,2025-08-01,8,"<0.001","0.6560"
8,"Positive shock",363,0.426847,0.127235,0.177466,0.676228,0.000893,"***",0.814975,0.367352,1995-05-01,2025-07-01,9,"<0.001","0.3674"
8,"Negative shock",363,0.267747,0.070261,0.130035,0.405459,0.000167,"***",0.814975,0.367352,1995-05-01,2025-07-01,9,"<0.001","0.3674"
9,"Positive shock",362,0.501538,0.148754,0.209981,0.793095,0.000842,"***",1.614653,0.204792,1995-05-01,2025-06-01,10,"<0.001","0.2048"
9,"Negative shock",362,0.238287,0.081005,0.079518,0.397055,0.003511,"***",1.614653,0.204792,1995-05-01,2025-06-01,10,"0.0035","0.2048"
10,"Positive shock",361,0.539438,0.163085,0.219792,0.859084,0.001052,"***",2.285141,0.13164,1995-05-01,2025-05-01,11,"0.0011","0.1316"
10,"Negative shock",361,0.189736,0.09453,0.004458,0.375014,0.045603,"**",2.285141,0.13164,1995-05-01,2025-05-01,11,"0.0456","0.1316"
11,"Positive shock",360,0.614576,0.172214,0.277037,0.952115,0.000416,"***",3.624984,0.05785,1995-05-01,2025-04-01,12,"<0.001","0.0578"
11,"Negative shock",360,0.139337,0.105336,-0.067121,0.345796,0.186887,"",3.624984,0.05785,1995-05-01,2025-04-01,12,"0.1869","0.0578"
12,"Positive shock",359,0.642541,0.176066,0.297451,0.98763,0.000309,"***",3.995404,0.046506,1995-05-01,2025-03-01,13,"<0.001","0.0465"
12,"Negative shock",359,0.116178,0.118506,-0.116093,0.348449,0.327682,"",3.995404,0.046506,1995-05-01,2025-03-01,13,"0.3277","0.0465"
